"","eval","minority","age","gender","credits","beauty","native","tenure","students","allstudents","participation"
"1",4.3,"yes",36,"female","more",0.2899157,"yes","yes",24,43,0.558139534883721
"2",4.5,"no",59,"male","more",-0.7377322,"yes","yes",17,20,0.85
"3",3.7,"no",51,"male","more",-0.5719836,"yes","yes",55,55,1
"4",4.3,"no",40,"female","more",-0.6779634,"yes","yes",40,46,0.869565217391304
"5",4.4,"no",31,"female","more",1.509794,"yes","yes",42,48,0.875
"6",4.2,"no",62,"male","more",0.5885687,"yes","yes",182,282,0.645390070921986
"7",4,"no",33,"female","more",-0.126001,"yes","yes",33,41,0.804878048780488
"8",3.4,"no",51,"female","more",-0.2581899,"yes","yes",25,41,0.609756097560976
"9",4.5,"no",33,"female","more",0.1496926,"yes","yes",48,60,0.8
"10",3.9,"no",47,"male","more",0.540917,"yes","no",16,19,0.842105263157895
"11",3.1,"yes",35,"male","more",0.2316134,"no","yes",18,25,0.72
"12",4,"no",37,"male","more",-0.0666737,"yes","no",30,34,0.882352941176471
"13",3.8,"no",42,"male","more",0.2168924,"yes","yes",28,40,0.7
"14",3.4,"no",49,"male","more",-0.2586962,"no","yes",30,36,0.833333333333333
"15",2.9,"no",37,"female","more",0.5502878,"yes","yes",23,28,0.821428571428571
"16",4.5,"no",45,"male","more",-0.0620358,"yes","yes",23,33,0.696969696969697
"17",4,"no",56,"female","more",-0.9823852,"yes","no",27,41,0.658536585365854
"18",3.8,"no",48,"male","more",-0.054344,"yes","no",100,135,0.740740740740741
"19",4.3,"no",46,"female","more",-0.0680143,"yes","yes",25,31,0.806451612903226
"20",3.4,"no",57,"female","more",0.0294137,"yes","no",17,28,0.607142857142857
"21",3.4,"no",52,"female","more",0.2394859,"yes","no",19,22,0.863636363636364
"22",3.3,"yes",29,"female","more",-0.8487269,"no","yes",19,26,0.730769230769231
"23",4.3,"no",62,"male","more",-0.7330914,"yes","yes",30,39,0.769230769230769
"24",4.4,"no",64,"male","more",-0.1111221,"yes","yes",15,24,0.625
"25",4.6,"no",34,"female","more",1.775517,"yes","yes",20,26,0.769230769230769
"26",4.2,"no",58,"male","more",-0.3218485,"yes","yes",84,159,0.528301886792453
"27",4,"yes",52,"male","more",0.2116939,"no","yes",13,16,0.8125
"28",3.3,"no",73,"male","more",-0.717645,"yes","yes",12,17,0.705882352941177
"29",4.4,"no",70,"male","more",-0.7326927,"yes","yes",47,134,0.350746268656716
"30",2.3,"no",41,"female","more",0.4081676,"yes","yes",10,12,0.833333333333333
"31",3.5,"no",63,"male","more",-0.0102077,"yes","no",28,43,0.651162790697674
"32",4.7,"no",47,"male","more",-0.923957,"yes","yes",10,15,0.666666666666667
"33",3.9,"no",39,"male","more",0.5766805,"yes","yes",86,246,0.349593495934959
"34",4,"yes",47,"female","more",-0.0836015,"yes","yes",21,21,1
"35",4.3,"no",54,"male","more",-1.079558,"yes","yes",15,15,1
"36",3.8,"yes",44,"female","more",1.040902,"yes","yes",30,55,0.545454545454545
"37",3.8,"yes",47,"male","more",-1.052108,"yes","yes",20,27,0.740740740740741
"38",4,"no",62,"male","more",-0.7277681,"yes","yes",12,13,0.923076923076923
"39",4.6,"no",60,"male","more",-0.3953965,"yes","yes",25,34,0.735294117647059
"40",3.5,"no",37,"male","more",0.9333959,"yes","yes",15,17,0.882352941176471
"41",4.7,"no",42,"male","more",-0.2377786,"yes","yes",13,14,0.928571428571429
"42",4.2,"no",35,"male","more",0.274908,"yes","yes",42,51,0.823529411764706
"43",3.4,"no",39,"female","more",1.970023,"yes","no",22,24,0.916666666666667
"44",3.9,"no",49,"male","more",1.05095,"yes","yes",28,45,0.622222222222222
"45",4.5,"no",61,"male","more",0.2418185,"yes","yes",22,27,0.814814814814815
"46",4.7,"no",33,"male","more",1.349395,"yes","yes",30,31,0.967741935483871
"47",3.5,"no",58,"female","more",0.1115635,"yes","yes",26,34,0.764705882352941
"48",3.7,"no",56,"female","more",-0.2577254,"yes","yes",12,19,0.631578947368421
"49",4,"no",50,"female","more",-0.6562689,"yes","no",22,27,0.814814814814815
"50",4.1,"no",52,"male","more",-0.6563948,"yes","yes",57,67,0.850746268656716
"51",4.4,"no",33,"female","more",0.7244775,"yes","yes",10,15,0.666666666666667
"52",4.2,"no",57,"male","more",0.6318343,"yes","yes",69,77,0.896103896103896
"53",4.5,"no",38,"female","more",1.070944,"yes","yes",46,65,0.707692307692308
"54",3.8,"no",34,"female","more",-1.450494,"yes","yes",54,91,0.593406593406593
"55",3.1,"no",34,"male","more",1.15588,"yes","yes",24,36,0.666666666666667
"56",3.7,"no",32,"male","more",-0.3260148,"yes","yes",85,248,0.342741935483871
"57",3.9,"no",42,"female","more",0.8846435,"yes","yes",44,62,0.709677419354839
"58",4,"no",43,"female","more",-0.5583452,"yes","yes",35,51,0.686274509803922
"59",3.3,"no",35,"male","more",-0.3415543,"no","yes",11,19,0.578947368421053
"60",3.1,"no",62,"female","more",-0.5040575,"yes","yes",22,27,0.814814814814815
"61",4,"no",42,"male","more",-0.9005804,"yes","yes",45,86,0.523255813953488
"62",4.3,"no",39,"male","more",0.6430142,"yes","yes",22,29,0.758620689655172
"63",3.7,"no",52,"female","more",0.773524,"yes","yes",64,88,0.727272727272727
"64",3.4,"no",52,"female","more",1.063938,"yes","yes",31,44,0.704545454545455
"65",4.3,"no",52,"female","more",-1.090389,"yes","no",59,75,0.786666666666667
"66",3.7,"no",64,"male","more",-1.069162,"yes","yes",9,11,0.818181818181818
"67",4.2,"no",50,"male","more",1.415695,"yes","yes",15,16,0.9375
"68",2.2,"no",60,"male","more",-1.422919,"yes","yes",23,32,0.71875
"69",3,"no",51,"female","more",0.3918222,"yes","yes",47,67,0.701492537313433
"70",4.3,"no",43,"male","more",-0.4899626,"yes","yes",19,22,0.863636363636364
"71",4.6,"yes",50,"male","single",-0.5835869,"yes","no",17,24,0.708333333333333
"72",3.5,"no",52,"male","more",0.7566829,"yes","yes",46,69,0.666666666666667
"73",4.6,"no",51,"male","more",0.8808186,"yes","yes",348,574,0.606271777003484
"74",3.7,"no",38,"male","more",-0.5665014,"yes","yes",44,87,0.505747126436782
"75",3.8,"no",47,"female","more",0.3394037,"yes","yes",19,24,0.791666666666667
"76",3.6,"yes",43,"female","more",-0.1513687,"yes","yes",47,103,0.456310679611651
"77",4.4,"no",38,"female","more",-1.024997,"yes","no",33,68,0.485294117647059
"78",4.1,"no",43,"male","more",-0.0252444,"yes","yes",10,13,0.769230769230769
"79",4.3,"no",57,"male","more",-0.7467875,"yes","yes",7,13,0.538461538461538
"80",4,"no",51,"female","more",0.9889485,"yes","yes",9,11,0.818181818181818
